Pos,Player,Tm,Year,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
MLB,Bobby Wagner,SEA,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,85,4.5,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
MLB,Dont'a Hightower,NWE,2016,4,13,13,0,0,0,0,0,0,0,0,0,0,0,31,2.5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
LB,Luke Kuechly,CAR,2016,4,10,10,0,0,0,0,0,0,0,0,0,0,0,71,2,1,"AP: 2nd Tm, PFF: 1st Tm, SN: 1st Tm"
LB,Sean Lee,DAL,2016,6,15,15,0,0,0,0,0,0,0,0,0,0,0,93,0,0,"AP: 1st Tm, PFF: 1st Tm"
LB,Zach Brown,BUF,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,97,4,1,AP: 2nd Tm
LB,Lavonte David,TAM,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,67,5,1,AP: 2nd Tm
LB,Benardrick McKinney,HOU,2016,1,16,16,0,0,0,0,0,0,0,0,0,0,0,79,5,0,AP: 2nd Tm
LB,Whitney Mercilus,HOU,2016,4,15,15,0,0,0,0,0,0,0,0,0,0,0,36,7.5,0,AP: 2nd Tm
LB,C.J. Mosley,BAL,2016,2,14,14,0,0,0,0,0,0,0,0,0,0,0,56,0,4,AP: 2nd Tm
LB,Alec Ogletree,LAR,2016,3,16,16,0,0,0,0,0,0,0,0,0,0,0,98,0,2,AP: 2nd Tm
LB,Zach Orr,BAL,2016,2,15,15,0,0,0,0,0,0,0,0,0,0,0,92,0,3,AP: 2nd Tm
LB,Paul Posluszny,JAX,2016,9,16,16,0,0,0,0,0,0,0,0,0,0,0,97,1.5,1,PFF: 2nd Tm
LB,K.J. Wright,SEA,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,72,4,0,PFF: 2nd Tm
CB,Aqib Talib,DEN,2016,8,13,13,0,0,0,0,0,0,0,0,0,0,0,32,0,3,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
CB,Marcus Peters,KAN,2016,1,15,15,0,0,0,0,0,0,0,0,0,0,0,35,0,6,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
CB,Malcolm Butler,NWE,2016,2,16,16,0,0,0,0,0,0,0,0,0,0,0,48,1,4,"PFF: 1st Tm, AP: 2nd Tm"
CB,Janoris Jenkins,NYG,2016,4,15,15,0,0,0,0,0,0,0,0,0,0,0,44,1,3,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
CB,Patrick Peterson,ARI,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0,3,PFW: 1st Tm All-Conf.
CB,Casey Hayward,SDG,2016,4,16,14,0,0,0,0,0,0,0,0,0,0,0,51,0,7,"AP: 2nd Tm, PFF: 2nd Tm"
